año,region,region_bne,demanda_total_GWh,demanda_R_GWh,demanda_C_GWh,demanda_P_GWh,demanda_I_GWh,demanda_T_GWh
2023,ANTOFAGASTA,AN,17820.404328621666,460.57341318301786,70.55759566881792,179.91233201484133,16708.25059603734,289.36402771480374
2023,ARICA Y PARINACOTA,AP,346.2451663558326,163.1504833523472,79.2928671733208,9.949113700550267,81.45716238842735,0.20832684391419035
2023,ATACAMA,AT,4470.39355812345,174.29751564816084,106.63682247201048,185.04371935302973,3886.9473555435306,51.104838853374865
2023,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,AI,218.12094152171747,94.07603618872804,65.9509798249144,12.824996696423652,47.31853006553536,0.09644316413200656
2023,BIOBÍO,BI,6122.441824344356,1278.6306621558804,522.4961322445567,263.6797647631612,3982.767636023593,27.16801988443863
2023,COQUIMBO,CO,2868.020370401595,506.15412067508043,34.28864045342823,138.18517725621263,2101.8575847472407,1.5382534401698011
2023,LA ARAUCANÍA,AR,2052.7793445096268,726.0121851365036,292.97166230550187,123.87584194703882,870.5655921319004,19.324401941458632
2023,LIBERTADOR GENERAL BERNARDO O'HIGGINS,LI,4581.686651899765,796.7133302192949,267.46601366654096,143.98936370176256,3277.4744734791634,9.157838348192405
2023,LOS LAGOS,LL,3087.456810428044,835.7576538110798,811.5625751837904,94.13802642741142,1401.0733358563275,8.259586160877642
2023,LOS RÍOS,LR,1317.883733770051,329.0525665329766,168.6311663237253,20.94145575949184,794.5312319881376,0.1541518822438315
2023,MAGALLANES Y DE LA ANTÁRTICA CHILENA,MA,373.0856576653171,145.74500553881148,119.11720974615653,19.816846074207337,95.54380119129615,0.12457436480610001
2023,MAULE,ML,2840.2175361398586,940.0395057327563,331.96851828736305,155.92921139371524,1357.6811606853037,5.998586225271722
2023,METROPOLITANA DE SANTIAGO,RM,26837.811928229403,7306.88577650211,5884.5191633154545,1038.833327130742,12597.880755633025,611.2706844664862
2023,TARAPACÁ,TA,2826.0969406815,223.04720243559333,59.660219580525016,103.64480927132989,2385.6030749712654,0.35446587849643746
2023,VALPARAÍSO,VS,5137.272541868542,1618.900242414883,758.644401542485,362.19232647227324,2276.88234242997,68.33411016605979
2023,ÑUBLE,NB,1458.5816905659815,440.65962531686887,69.18722957477293,5.455453959569287,919.2664346422176,3.2509092628904006
